afstemningid,sagstrinid,kommentar,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort
2844,70505,,1,2015-12-21 10:00:00,17,28311,3,L 47,Forslag til lov om ændring af lov om social service. (Målretning af de forebyggende hjemmebesøg).,Om målretning af de forebyggende hjemmebesøg.
2845,68016,,1,2015-12-21 10:00:00,17,27719,3,L 12,"Forslag til lov om ændring af lov om miljøvenligt design af energirelaterede produkter, lov om energimærkning af energirelaterede produkter, lov om fremme af energibesparelser i bygninger, lov om fjernkøling og lov om fremme af besparelser i energiforbruget. (Skærpet håndhævelse af dokumentationskrav til ecodesign og energimærkning af energirelaterede produkter, justering af forpligtelsen til at lade udarbejde energimærkning for bygninger med ejerlejligheder, lettelse af vilkårene for godkendelse som bedre bolig-rådgiver og faktureringsoplysninger til fjernkølingskunder m.v.).",Om skærpet håndhævelse af dokumentationskrav til ecodesign og energimærkning af energirelaterede produkter m.v.
2846,68820,,1,2015-12-21 10:00:00,17,27955,3,L 30,Forslag til lov om ændring af lov om fremme af vedvarende energi. (Nedsættelse af støtte for husstandsvindmøller).,Om nedsættelse af støtte for husstandsvindmøller.
2847,69517,,1,2015-12-21 10:00:00,17,28070,3,L 33,"Forslag til lov om ændring af lov om luftfart. (Fri adgang til og fra ankomst- og afgangsterminaler, trafikledelsesordninger på flyvepladsernes områder og opkrævning af betaling).","Om fri adgang til og fra ankomst- og afgangsterminaler, trafikledelsesordninger m.v."
2848,69439,,1,2015-12-21 10:00:00,17,28061,3,L 32,Forslag til lov om anerkendelse af visse uddannelses- og erhvervsmæssige kvalifikationer.,Om anerkendelse af visse uddannelses- og erhvervsmæssige kvalifikationer.
2849,70388,,1,2015-12-21 10:00:00,17,28302,3,L 57,Forslag til lov om ændring af lov om fødevarer. (Ændret finansiering af kontrolkampagner og kosttilskudskontrol og indførelse af mulighed for rekvireret vejledning).,Om finansiering af kontrolkampagner og kosttilskudskontrol m.v.
2850,69426,,1,2015-12-21 09:00:00,17,28059,3,L 31,"Forslag til lov om ændring af lov om arbejdsmiljø. (Risikobaseret tilsyn, offentliggørelse af navne på virksomheder under skærpet tilsyn, skærpelse af straf og offentliggørelse af arbejdspladsvurdering vedrørende elektromagnetiske felter m.v.).",Om risikobaseret tilsyn m.v. på arbejdsmiljøområdet.
2851,70414,,1,2015-12-21 10:00:00,17,28304,3,L 54,Forslag til lov om ændring af lov om Fonden for Forebyggelse og Fastholdelse. (Ændring af organiseringen og administrationen af Fonden for Forebyggelse og Fastholdelse).,Om organiseringen og administrationen af Fonden for Forebyggelse og Fastholdelse.
2852,70401,,1,2015-12-21 10:00:00,17,28303,3,L 55,"Forslag til lov om ændring af lov om sygedagpenge, lov om en aktiv beskæftigelsesindsats, lov om organisering og understøttelse af beskæftigelsesindsatsen m.v., lov om aktiv socialpolitik og lov om ferie. (Midlertidig periode med ret til sygedagpenge ved livstruende, alvorlig sygdom m.v.).","Om midlertidig periode med ret til sygedagpenge ved livstruende, alvorlig sygdom m.v."
2853,71078,,1,2015-12-21 10:00:00,17,28466,3,L 66,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats og lov om kommunal udligning og generelle tilskud til kommuner. (Ændret minimumskrav til mentorindsats, sammenlægning af rammer for mentor og aktiv indsats m.v.).","Om ændret minimumskrav til mentorindsats på beskæftigelsesområdet, sammenlægning af rammer for mentor og aktiv indsats m.v."
2854,67912,,1,2015-12-21 10:00:00,17,27711,3,L 13,"Forslag til lov om ændring af kildeskatteloven, momsloven og skattekontrolloven. (Ophævelse af hjemmel til kontrol af udendørs byggeaktivitet på privat grund – retssikkerhedspakke I).",Om ophævelse af hjemmel til kontrol af udendørs byggeaktivitet på privat grund - Retssikkerhedspakke I.
2855,67873,,1,2015-12-21 10:00:00,17,27708,3,L 16,Forslag til lov om ændring af tonnageskatteloven og sømandsbeskatningsloven. (Udvidelse af tonnageskatteordningen med en række specialskibe).,Om udvidelse af tonnageskatteordningen med en række specialskibe.
2856,67899,,1,2015-12-21 10:00:00,17,27710,3,L 17,"Forslag til lov om ændring af lov om kommunal ejendomsskat
og lov om vurdering af landets faste ejendomme (Fritagelse for grundskyld for ejendomme ramt af kystnedbrydning og vurdering af visse ejendomme med hjemfaldspligt).",Om fritagelse for grundskyld for ejendomme ramt af kystnedbrydning.
2857,167590,,1,2015-12-21 09:00:00,17,67644,3,L 56 A,"Forslag til lov om ændring af momsloven og forskellige
andre love. (Momsgodtgørelse for ambassader m.v., bemyndigelse til momskontrol af betalingsoplysninger, tilpasning af reglerne om herboende repræsentant for motoransvars- og lystfartøjsforsikringer, tilpasning af adgangen til registrering af oplysninger i Køretøjsregisteret, afskaffelse af befordringsfradrag m.v. for skattefritagne personer m.v.)","Om momsgodtgørelse for ambassader, momskontrol, Køretøjsregisteret, befordringsfradrag m.v."
2858,167593,,1,2015-12-21 09:00:00,17,67645,3,L 56 B,"Forslag til lov om ændring af lov om registrering af køretøjer.
(Tilpasning af adgangen til indhentelse af oplysninger
i Køretøjsregisteret).","Om tilpasning af adgangen til indhentelse af oplysninger
i Køretøjsregisteret."
2859,70802,,1,2015-12-21 10:00:00,17,28401,3,L 61,"Forslag til lov om ændring af registreringsafgiftsloven, brændstofforbrugsafgiftsloven og forskellige andre love. (Indfasning af eldrevne og brændselscelledrevne køretøjer i grøn ejerafgift og registreringsafgift m.v.).",Om indfasning af eldrevne og brændselscelledrevne køretøjer i grøn ejerafgift og registreringsafgift m.v.
2860,70841,,1,2015-12-21 10:00:00,17,28404,3,L 64,Forslag til lov om ændring af ligningsloven. (Forhøjelse af fradrag for passage af Storebæltsforbindelsen).,Om forhøjelse af fradrag for passage af Storebæltsforbindelsen.
2861,70815,,1,2015-12-21 10:00:00,17,28402,3,L 65,Forslag til lov om ophævelse af reklameafgiftsloven. (Ophævelse af reklameafgiftsloven).,Om ophævelse af reklameafgiftsloven.
2862,71118,,1,2015-12-21 10:00:00,17,28471,3,L 69,Forslag til lov om ændring af registreringsafgiftsloven. (Nedsættelse af registreringsafgiftens højeste sats for personbiler m.v.).,Om nedsættelse af registreringsafgiftens højeste sats for personbiler m.v.
2863,70789,,1,2015-12-21 10:00:00,17,28400,3,L 70,"Forslag til lov om ændring af lov om afgift af kvælstofoxider og forskellige andre love. (Nedsættelse af NOx-afgiften, tilretning og senere ophævelse af NOx-afgiftsloven, indførelse af forbrugsregistrering for afgifterne på affaldsvarme og ændring af visse miljø- og energiafgifter).","Om bundfradraget i NOx-afgiften, senere ophævelse af NOx-afgiftsloven, afgifter på affaldsvarme m.v."
2864,70854,,1,2015-12-21 09:00:00,17,28405,3,L 60,Forslag til lov om indfødsretsprøven af 2015.,Om indfødsretsprøve.
2865,165368,,1,2015-12-21 09:00:00,17,67310,3,L 75,"Forslag til lov om ændring af integrationsloven og lov om planlægning. (Midlertidig indkvartering af flygtninge).
",Om midlertidig indkvartering af flygtninge.
2866,68130,,1,2015-12-21 09:00:00,17,27728,3,L 23,Forslag til lov om ændring af lov om Politiets Efterretningstjeneste (PET) og toldloven. (Politiets Efterretningstjenestes adgang til oplysninger om flypassagerer i terrorsager m.v. og SKATs håndtering af oplysninger om flypassagerer i forbindelse med toldkontrol m.v.).,Om adgang til og håndtering af oplysninger om flypassagerer m.v.
2870,69465,,1,2016-01-19 13:00:00,17,28065,3,L 35,"Forslag til lov om ændring af myndighedsloven for Grønland, lov om ikrafttræden for Grønland af lov om ægteskabets retsvirkninger, retsplejelov for Grønland og kriminallov for Grønland. (Ændringer som følge af ikraftsættelse for Grønland af forældreansvarslovgivningen og lovgivningen om ægteskab mellem to personer af samme køn).",Om ændringer af lovgivning for Grønland som følge af forældreansvarslovgivningen m.v.
2875,70492,,1,2016-01-21 10:00:00,17,28310,3,L 50,Forslag til lov om EKF Danmarks Eksportkredit.,Om EKF Danmarks Eksportkredit.
2876,70557,,1,2016-01-21 10:00:00,17,28315,3,L 52,Forslag til lov om ændring af lov om naturgasforsyning. (Bemyndigelse til fastsættelse af regler om opgørelse af produktions- og tilførselsomkostninger for opgraderet og renset biogas m.v.).,Om produktions- og tilførselsomkostninger for opgraderet og renset biogas m.v.
2877,70466,,1,2016-01-21 10:00:00,17,28308,3,L 59,Forslag til lov om ophævelse af lov om randzoner.,Om ophævelse af lov om randzoner.
2878,70867,,1,2016-01-21 10:00:00,17,28406,3,L 63,Forslag til lov om ændring af lov om friskoler og private grundskoler m.v. (Bedre rammer for skoletilbud på 27 småøer).,Om bedre rammer for skoletilbud på 27 småøer.
2879,70049,,1,2016-01-21 10:00:00,17,28181,3,L 41,"Forslag til lov om ændring af lov for Færøerne om rettens pleje, lov om ændring af færdselsloven og pasloven og lov om ændring af lov om Arbejdsmarkedets Tillægspension og forskellige andre love. (Videoafhøring af børn og unge i straffesager, bestemmelser om territorial gyldighed for Færøerne og Grønland m.v.).",Om videoafhøring af børn og unge i straffesager på Færøerne.
2887,165626,,1,2016-01-26 13:00:00,17,67380,3,L 87,"Forslag til lov om ændring af udlændingeloven. (Udskydelse af retten til familiesammenføring for personer med midlertidig beskyttelsesstatus, skærpelse af reglerne om tidsubegrænset opholdstilladelse, skærpelse af reglerne om inddragelse af flygtninges opholdstilladelse m.v.).","Om familiesammenføring, opholdstilladelse, gebyrer, inddragelse af asylansøgeres midler, ydelser på asylområdet m.v."
2890,168334,,1,2016-02-02 13:00:00,17,67919,3,L 53 A,Forslag til lov om ændring af lov om dansk indfødsret. (Ophævelse af erklæringsadgangen for unge født og opvokset i Danmark m.v.).,Om ophævelse af erklæringsadgang for børn og unge født og opvokset i Danmark m.v.
2891,168339,,1,2016-02-02 13:00:00,17,67920,3,L 53 B,Forslag til lov om ændring af lov om dansk indfødsret. (Omfattelse af børn som bipersoner ved afgivelse af erklæring i medfør af reglerne om dobbelt statsborgerskab).,Om omfattelse af børn som bipersoner ved afgivelse af erklæring i medfør af reglerne om dobbelt statsborgerskab.
2893,167353,,1,2016-02-04 10:00:00,17,67552,3,L 88,Forslag til lov om ophævelse af lov om barselsudligning for selvstændigt erhvervsdrivende.,Om ophævelse af lov om barselsudligning for selvstændigt erhvervsdrivende.
2894,167340,,1,2016-02-04 10:00:00,17,67551,3,L 89,Forslag til lov om ændring af lov om lige løn til mænd og kvinder. (Kønsopdelt lønstatistik).,Om kønsopdelt lønstatistik.
2901,165640,,1,2016-02-11 10:00:00,17,67383,3,L 76,"Forslag til lov om ændring af forældreansvarsloven og lov om social service. (Forældremyndighed, når den ene forælder har forvoldt den anden forælders død, overførsel af forældremyndighed til samlevende par m.v.).","Om forældremyndighed, når den ene forælder har forvoldt den anden forælders død, overførsel af forældremyndighed til samlevende par m.v."
2902,167457,,1,2016-02-11 10:00:00,17,67560,3,L 90,Forslag til lov om ændring af lov om radiofrekvenser og om ophævelse af lov om auktion over tilladelser til 3. generations mobilnet. (Ændring af auktions- og udbudsbestemmelser og ophævelse af lov om auktion over tilladelser til 3. generations mobilnet).,Om auktions- og udbudsbestemmelser vedrørende radiofrekvenser og om ophævelse af auktion over tilladelser til 3. generations mobilnet.
2903,167431,,1,2016-02-11 10:00:00,17,67558,3,L 91,"Forslag til lov om ændring af lov om vandsektorens organisering og økonomiske forhold, lov om vandforsyning m.v., lov om betalingsregler for spildevandsforsyningsselskaber m.v. og forskellige andre love. (Opfølgning på politisk forlig om en ny og forbedret regulering af den danske vandsektor).",Om ny og forbedret regulering af den danske vandsektor.
2904,167392,,1,2016-02-11 10:00:00,17,67555,3,L 95,Forslag til lov om ændring af ligningsloven. (Grøn boligjobordning i 2016 og 2017).,Om grøn boligjobordning i 2016 og 2017.
2905,70111,,1,2016-02-11 10:00:00,17,28185,3,L 43,Forslag til lov om ændring af retsplejeloven. (Videoafhøring af børn og unge i straffesager).,Om videoafhøring af børn og unge i straffesager.
2906,70570,,1,2016-02-11 10:00:00,17,28316,3,L 48,"Forslag til lov om ændring af retsplejeloven. (Udtagelse af blodprøve, anklagemyndighedens deltagelse i retsmøder via videokommunikation ved fristforlængelser m.v.).","Om blodprøveudtagelse, videokommunikation ved fristforlængelser m.v."
2907,118644,,1,2016-02-11 10:00:00,17,46075,3,L 73,"Forslag til lov om ændring af sundhedsloven. (Regler for private ambulanceberedskaber, honorarer til medlemmer af patientinddragelsesudvalg, personkreds i sundhedshuse m.v.).",Om regler for private ambulanceberedskaber m.v. 
2910,165600,,1,2016-02-23 13:00:00,17,67378,3,L 78,Forslag til lov om ændring af retsplejeloven. (Udveksling af oplysninger om tegn på radikalisering og ekstremisme).,Om udveksling af oplysninger om tegn på radikalisering og ekstremisme.
2911,165587,,1,2016-02-23 13:00:00,17,67377,3,L 79,Forslag til lov om ændring af lov om fuldbyrdelse af straf m.v. (Sektionering af radikaliserede og ekstremistiske indsatte).,Om sektionering af radikaliserede og ekstremistiske indsatte.
2912,165561,,1,2016-02-23 13:00:00,17,67375,3,L 80,Forslag til lov om ændring af straffeloven. (Kriminalisering af uretmæssig besiddelse af mobiltelefon og lignende kommunikationsudstyr i varetægtssurrogat).,Om kriminalisering af uretmæssig besiddelse af mobiltelefon m.v. i varetægtssurrogat.
2913,165574,,1,2016-02-23 13:00:00,17,67376,3,L 85,Forslag til lov om ændring af lov om DSB. (Vilkår for udlån af tjenestemænd og ophævelse af bestemmelser om DSB S-tog A/S).,Om  udlån af tjenestemænd og ophævelse af bestemmelser om DSB S-tog A/S m.v. 
2914,168051,,1,2016-02-23 13:00:00,17,67802,3,L 105,Forslag til lov om ændring af lov om social service. (Værdighedspolitikker for ældreplejen).,Om værdighedspolitikker for ældreplejen.
2915,167379,,1,2016-02-25 10:00:00,17,67554,3,L 96,Forslag til lov om ændring af lov om kommunal ejendomsskat og lov om kommunal udligning og generelle tilskud til kommuner. (Fastfrysning af grundskyld for ejerboliger i 2016).,Om fastfrysning af grundskyld for ejerboliger i 2016.
2916,70828,,1,2016-02-25 10:00:00,17,28403,3,L 68,Forslag til lov om ændring af lov om jordbrugets anvendelse af gødning og om plantedække. (Justering af reglerne om kvælstofnormer).,Om justering af reglerne om kvælstofnormer.
2917,165521,,1,2016-02-25 10:00:00,17,67371,3,L 86,"Forslag til lov om ændring af lov om assisteret reproduktion i forbindelse med behandling, diagnostik og forskning m.v. (Information og samtykke i forbindelse med behandling med assisteret reproduktion m.v.).",Om information og samtykke i forbindelse med behandling med assisteret reproduktion m.v.
2921,167366,,1,2016-03-01 13:00:00,17,67553,3,L 94,"Forslag til lov om ændring af selskabsloven, lov om visse erhvervsdrivende virksomheder, lov om erhvervsdrivende fonde og forskellige andre love. (Indførelse af register over reelle ejere).",Om indførelse af register over reelle ejere.
2925,167418,,1,2016-03-03 10:00:00,17,67557,3,L 92,Forslag til lov om radioudstyr og elektromagnetiske forhold.,Om radioudstyr og elektromagnetiske forhold.
2926,167469,,1,2016-03-03 10:00:00,17,67561,3,L 93,Forslag til lov om pilotudbud af pristillæg for elektricitet fremstillet på solcelleanlæg.,Om pilotudbud af pristillæg for elektricitet fremstillet på solcelleanlæg.
2927,167942,,1,2016-03-03 10:00:00,17,67768,3,L 104,Forslag til lov om tillægsbevilling for finansåret 2015.,Om tillægsbevillingsloven for finansåret 2015.
2928,167405,,1,2016-03-03 10:00:00,17,67556,3,L 97,Forslag til lov om ændring af lov om retshjælp til indgivelse og førelse af klagesager for internationale klageorganer i henhold til menneskerettighedskonventioner og retsplejeloven. (Ændring af betingelserne for retshjælp og indførelse af klageadgang til Procesbevillingsnævnet).,Om betingelserne for retshjælp i sager for internationale klageorganer og indførelse af klageadgang til Procesbevillingsnævnet.
2943,168199,,1,2016-03-17 10:00:00,17,67875,3,L 106,Forslag til lov om ændring af deltidslov. (Opfølgning på begrundet udtalelse fra Europa-Kommissionen om forskelsbehandling af deltidsansatte samt forenkling af loven).,Om forskelsbehandling af deltidsansatte og forenkling af loven.
2945,168449,,1,2016-03-17 10:00:00,17,67971,3,L 113,"Forslag til lov om ændring af lov om aktiv socialpolitik, lov om individuel boligstøtte, integrationsloven og forskellige andre love. (Kontanthjælpsloft, 225-timersregel, ferie til uddannelses- og kontanthjælpsmodtagere m.v.).","Om nyt kontanthjælpsloft, 225-timersregel og ferie til uddannelses- og kontanthjælpsmodtagere m.v."
2946,168277,,1,2016-03-17 10:00:00,17,67881,3,L 110,Forslag til lov om ændring af lov om almene boliger m.v. og lov om friplejeboliger. (Nedsættelse af grundkapital og kapitalindskud samt revision af reglerne for totaløkonomiske merinvesteringer m.v.).,"Om grundkapital, kapitalindskud og totaløkonomiske merinvesteringer m.v. på almenbolig- og friplejeboligområdet. "
2947,168225,,1,2016-03-17 10:00:00,17,67877,3,L 111,"Forslag til lov om ændring af lov om aktiv socialpolitik, integrationsloven og forskellige andre love. (Udvidelse af personkredsen for modtagelse af integrationsydelse m.v.).",Om udvidelse af personkredsen for modtagelse af integrationsydelse m.v.
2948,168660,,1,2016-03-17 10:00:00,17,68060,3,L 122,"Forslag til lov om ændring af lov om inddrivelse af gæld til det offentlige, lov om en børne- og ungeydelse og opkrævningsloven. (Restanceinddrivelsesmyndighedens inddrivelse i perioden til og med 2019, gennemførelse af modregning og indkomstaftrapning af børne- og ungeydelsen uden partshøring m.v.).",Om inddrivelse af gæld til det offentlige m.v.
2967,167874,,1,2016-03-31 10:00:00,17,67734,3,L 99,"Forslag til lov om ændring af toldloven, momsloven, opkrævningsloven og lov om anvendelse af Det Europæiske Fællesskabs forordning om toldmyndighedernes indgriben over for varer, der mistænkes for at krænke visse intellektuelle ejendomsrettigheder, og om de foranstaltninger, som skal træffes over for varer, der krænker sådanne rettigheder. (Ændringer som følge af forordning om EU-toldkodeksen).",Om ændringer af forskellige love som følge af forordning om EU-toldkodeksen.
2968,165509,,1,2016-03-31 10:00:00,17,67370,3,L 77,Forslag til lov om kollektiv forvaltning af ophavsret.,Om kollektiv forvaltning af ophavsret.
2971,168212,,1,2016-04-05 13:00:00,17,67876,3,L 112,Forslag til lov om ændring af lov om euforiserende stoffer. (Assisteret stofindtagelse i stofindtagelsesrum).,Om assisteret stofindtagelse i stofindtagelsesrum.
2974,165613,,1,2016-04-12 13:00:00,17,67379,3,L 83,Forslag til lov om ændring af færdselsloven. (Udøvelse af markedskontrol med udstyr til køretøjer og godkendelse af prøvningsinstanser).,Om markedskontrol med udstyr til køretøjer og godkendelse af prøvningsinstanser. 
2976,167861,,1,2016-04-12 13:00:00,17,67733,3,L 100,Forslag til lov om ændring af lov om international fuldbyrdelse af forældremyndighedsafgørelser m.v. (internationale børnebortførelser). (Øget fleksibilitet i anvendelsen af retshjælpsordningen i børnebortførelsessager).,Om øget fleksibilitet i anvendelsen af retshjælpsordningen i børnebortførelsessager.
2977,168264,,1,2016-04-12 13:00:00,17,67880,3,L 109,Forslag til lov om indfødsrets meddelelse.,Om indfødsrets meddelelse.
2980,168699,,1,2016-04-14 10:00:00,17,68063,3,L 121,"Forslag til lov om ændring af sundhedsloven og lov om autorisation af sundhedspersoner og om sundhedsfaglig virksomhed. (Mulighed for anvendelse af personlige alarm- og pejlesystemer på sygehuse, tilbageholdelse af patienter m.v.).",Om anvendelse af personlige alarm- og pejlesystemer på sygehuse og tilbageholdelse af patienter m.v.
2981,168238,,1,2016-04-14 10:00:00,17,67878,3,L 108,"Forslag til lov om ændring af lov om udlevering af lovovertrædere, lov om fuldbyrdelse af visse strafferetlige afgørelser i Den Europæiske Union, lov om international fuldbyrdelse af straf m.v. og retsplejeloven. (Overførsel af kompetence fra Justitsministeriets departement til anklagemyndigheden i sager om udlevering og fuldbyrdelse af visse strafferetlige afgørelser m.v.).",Om overførsel af kompetence til anklagemyndigheden i sager om udlevering m.v.
2982,167846,,1,2016-04-19 13:00:00,17,67731,3,L 103,Forslag til lov om betalingskonti.,Om betalingskonti.
2988,167820,,1,2016-04-21 10:00:00,17,67729,3,L 101,"Forslag til lov om ændring af byggeloven. (Indførelse af certificeringsordning for dokumentation af tekniske forhold, undtagelse af udlejningsejendomme for byggeskadeforsikring m.v.).",Om indførelse af certificeringsordning vedrørende tekniske forhold i byggeriet m.v.
2989,168251,,1,2016-04-21 10:00:00,17,67879,3,L 107,Forslag til lov om knive og blankvåben m.v.,Om knive og blankvåben m.v.
2990,168751,,1,2016-04-21 10:00:00,17,68068,3,L 117,"Forslag til lov om ændring af lov om social service. (Revision af hjemmetræningsordningen, herunder præcisering af kravet om udredning, fastsættelse af krav om inddragelse af sundhedsfaglige kompetencer, præcisering af reglerne for tabt arbejdsfortjeneste m.v.).",Om revision af hjemmetræningsordningen.
2991,169453,,1,2016-04-21 10:00:00,17,68252,3,L 129,Forslag til lov om ændring af lov om retssikkerhed og administration på det sociale område og forskellige andre love. (Betalings- og handlekommune ved ophold i veterantilbud m.v.).,Om betalings- og handlekommune ved ophold i veterantilbud m.v.
2992,169440,,1,2016-04-21 10:00:00,17,68251,3,L 130,Forslag til lov om ændring af lov om valg af danske medlemmer til Europa-Parlamentet og lov om kommunale og regionale valg. (Valgret til personer under værgemål med fratagelse af den retlige handleevne).,Om valgret til personer under værgemål med fratagelse af den retlige handleevne.
2994,168738,,1,2016-04-26 13:00:00,17,68066,3,L 116,"Forslag til lov om ændring af lov om søfarendes ansættelsesforhold m.v., lov om sikkerhed til søs og forskellige andre love. (Sikring af søfarendes økonomiske stilling ved rederens misligholdelse af ansættelsesforholdet, styrket sikkerhed ved større maritime anlægsprojekter, forsikring i forbindelse med vragfjernelse, effektivisering af synsvirksomheden på dykkerområdet m.v.).",Om sikring af søfarendes økonomiske stilling m.v.
2995,165653,,1,2016-04-26 13:00:00,17,67384,3,L 82,Forslag til lov om ændring af lov om ændring af lov om planlægning og lov om naturbeskyttelse. (Ophævelse af forbud mod gødskning og sprøjtning på § 3-beskyttede arealer).,Om ophævelse af forbud mod gødskning og sprøjtning på § 3-beskyttede arealer.
2996,169178,,1,2016-04-26 13:00:00,17,68224,3,L 140,Forslag til lov om den selvejende institution Arbejdsmarkedets Erhvervssikring.,Om den selvejende institution Arbejdsmarkedets Erhvervssikring.
2997,169165,,1,2016-04-26 13:00:00,17,68223,3,L 141,"Forslag til lov om ændring af lov om arbejdsskadesikring, lov om arbejdsløshedsforsikring m.v., lov om arbejdsmiljø og forskellige andre love. (Overførsel af Arbejdsskadestyrelsens opgaver til den selvejende institution Arbejdsmarkedets Erhvervssikring og til Styrelsen for Arbejdsmarked og Rekruttering samt nedlæggelse af Arbejdsmarkedets Erhvervssygdomssikring).",Om overførsel af Arbejdsskadestyrelsens opgaver og nedlæggelse af Arbejdsmarkedets Erhvervssygdomssikring.
2999,169265,,1,2016-05-03 13:00:00,17,68236,3,L 125,"Forslag til lov om ændring af universitetsloven, lov om erhvervsakademiuddannelser og professionsbacheloruddannelser, lov om videregående kunstneriske uddannelsesinstitutioner, lov om maritime uddannelser og lov om videregående kunstneriske uddannelsesinstitutioner under Kulturministeriet. (Justering af fremdriftsreformen m.v.).",Om justering af fremdriftsreformen m.v. for de videregående uddannelser.
3000,169291,,1,2016-05-03 13:00:00,17,68238,3,L 128,Forslag til lov om aktiviteter i det ydre rum.,Om aktiviteter i det ydre rum.
3001,169334,,1,2016-05-03 13:00:00,17,68243,3,L 133,"Forslag til lov om ændring af færdselsloven. (Højere lokale 
hastighedsgrænser på motortrafikveje og justering af bødetaksten for hastighedsoverskridelser på visse motortrafikveje).",Om hastighedsgrænser på motortrafikveje og bødetaksten for hastighedsoverskridelser på visse motortrafikveje.
3008,172689,,1,2016-05-03 16:00:00,17,69219,3,L 185,"Forslag til lov om ændring af lov om fremme af vedvarende energi.
(Ophævelse af 60-40-støtteordningen for solcelleanlæg).",Om ophævelse af 60-40-støtteordningen for solcelleanlæg.
3014,169774,,1,2016-05-10 13:00:00,17,68384,3,L 147,Forslag til lov om miljøvurdering af planer og programmer og af konkrete projekter (VVM).,Om miljøvurdering af planer og programmer og af konkrete projekter (VVM). 
3015,169787,,1,2016-05-10 13:00:00,17,68385,3,L 148,"Forslag til lov om ændring af lov om miljøgodkendelse m.v. af husdyrbrug, lov om planlægning, lov om anvendelse af Danmarks undergrund, lov om fremme af vedvarende energi og forskellige andre love. (Konsekvensændringer m.v. som følge af lov om miljøvurdering af planer og programmer og af konkrete projekter (VVM)).",Om konsekvensændringer m.v. som følge af lov om miljøvurdering af planer og programmer og af konkrete projekter (VVM). 
3016,169373,,1,2016-05-10 13:00:00,17,68246,3,L 142,Forslag til lov om kliniske forsøg med lægemidler.,Om kliniske forsøg med lægemidler.
3017,169399,,1,2016-05-10 13:00:00,17,68248,3,L 143,Forslag til lov om ændring af sundhedsloven. (Reel ret til hurtig udredning og udvidet frit sygehusvalg ved 30 dages ventetid på behandling m.v.).,Om ret til hurtig udredning og udvidet frit sygehusvalg ved 30 dages ventetid på behandling m.v.
3018,169347,,1,2016-05-10 13:00:00,17,68244,3,L 144,Forslag til lov om elektroniske cigaretter m.v.,Om elektroniske cigaretter m.v.
3020,169427,,1,2016-05-12 10:00:00,17,68250,3,L 135,Forslag til lov om fremtidsfuldmagter.,Om fremtidsfuldmagter.
3021,169308,,1,2016-05-12 10:00:00,17,68241,3,L 124,"Forslag til lov om ændring af lov om inddrivelse af gæld til det offentlige, kildeskatteloven, ligningsloven, opkrævningsloven og selskabsskatteloven. (Indførelse af beløbsmæssige bagatelgrænser i forbindelse med udbetaling og opkrævning m.v.).",Om indførelse af beløbsmæssige bagatelgrænser i forbindelse med det offentliges udbetaling og opkrævning m.v.
3022,172959,,1,2016-05-12 10:00:00,17,69340,3,L 149 A,Forslag til lov om ændring af ligningsloven. (Skattefrihed for godtgørelse til visse asbestofre).,Om skattefrihed for godtgørelse til visse asbestofre.
3024,172962,,1,2016-05-12 10:00:00,17,69341,3,L 149 B,"Forslag til lov om ændring af ligningsloven, aktieavancebeskatningsloven, kursgevinstloven og skattekontrolloven. (Skattebegunstigelse af individuelle medarbejderaktieordninger).",Om skattebegunstigelse af individuelle medarbejderaktieordninger.
3033,169250,,1,2016-05-17 13:00:00,17,68234,3,L 126,Forslag til lov om ændring af lov om befordringsrabat til studerende ved videregående uddannelser. (Målretning af befordringsrabatordningen).,Om målretning af befordringsrabatordningen for studerende ved videregående uddannelser.
3034,169224,,1,2016-05-17 13:00:00,17,68232,3,L 127,Forslag til lov om ændring af lov om statens voksenuddannelsesstøtte. (Målretning af målgruppen og nedsættelse af satsen for SVU til videregående uddannelse).,Om målgrupper og satse for statens voksenuddannelsesstøtte til videregående uddannelser.
3048,169748,,1,2016-05-19 10:00:00,17,68382,3,L 145,Forslag til lov om ændring af lov om social pension og lov om organisering og understøttelse af beskæftigelsesindsatsen m.v. (Undtagelse af visse førtidspensionssager fra forelæggelse for rehabiliteringsteamet).,Om undtagelse af visse førtidspensionssager fra forelæggelse for rehabiliteringsteamet.
3049,169412,,1,2016-05-19 10:00:00,17,68249,3,L 131,Forslag til lov om maritim fysisk planlægning.,Om maritim fysisk planlægning.
3050,169761,,1,2016-05-19 10:00:00,17,68383,3,L 146,Forslag til lov om ændring af revisorloven og forskellige andre love. (Gennemførelse af ændringer i revisordirektivet og valgmuligheder i forordningen om særlige krav til revision af virksomheder af interesse for offentligheden).,Om gennemførelse af ændringer i revisordirektivet m.v.
3051,168725,,1,2016-05-19 10:00:00,17,68065,3,L 120,Forslag til lov om ændring af lov om miljøbeskyttelse. (Landskabelige hensyn og inddragelse af offentligheden).,Om landskabelige hensyn og inddragelse af offentligheden på miljøbeskyttelsesområdet.
3055,170646,,1,2016-05-24 13:00:00,17,68679,3,L 160,Forslag til lov om ændring af lov om statstilskud til elintensive virksomheder. (Udvidelse af tilskudskredsen for målrettet PSO-tilskud).,Om udvidelse af tilskudskredsen for målrettet PSO-tilskud.
