afstemningid,sagstrinid,kommentar,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort,sag_resume
3066,173325,,1,2016-05-26 10:00:00,17,69561,3,L 98 B,Forslag til lov om ændring af straffeloven. (Skærpelse af straffen for falsk anklage).,Om skærpelse af straffen for falsk anklage.,"Formålet med lovforslaget er at skærpe straffen for falsk anklage for voldtægt og seksualforbrydelser mod børn. 

Det foreslås, at lovforslaget træder i kraft den 1. juli 2016."
3069,168489,,1,2016-05-26 10:00:00,17,67985,3,L 114,"Forslag til lov om ændring af lov om offentlighed i forvaltningen. (Ophævelse af bestemmelser, som friholder kalenderføring, ministerbetjening og dokumenter udvekslet mellem ministre og folketingsmedlemmer fra at være omfattet af retten til aktindsigt).",Om offentlighed i forvaltningen.,"Lovforslaget er et ændringslovforslag til offentlighedsloven, som Folketinget vedtog i juni 2013. Lovforslaget indebærer, at bestemmelserne i offentlighedsloven om, at retten til aktindsigt ikke omfatter sager om kalenderføring, ministerbetjening og korrespondance mellem ministre og folketingsmedlemmer, ophæves.

Det foreslås, at loven træder i kraft 3 måneder efter førstkommende valg til Folketinget.
"
3086,167833,,1,2016-05-31 13:00:00,17,67730,3,L 102,"Forslag til lov om ændring af lov om letbane på Ring 3, lov om Metroselskabet I/S og Udviklingsselskabet By & Havn I/S og lov om trafikselskaber. (Anlæg af letbanen på Ring 3, særlig regulering i anlægsperioden m.v.).",Om anlæg af letbanen på Ring 3 m.v.,"Formålet med dette forslag til en anlægslov for en letbane i Ring 3 er at fastlægge den endelige linjeføring for letbanen med angivelse af stationer m.v. Lovforslaget bemyndiger interessentskabet bag letbanen i Ring 3 (som med lovforslaget skifter navn til Hovedstadens Letbane I/S) til at anlægge og efterfølgende drive letbanen. 

Det foreslås desuden, at anlæg af letbanen gennemføres inden for rammerne af de udførte vurderinger af projektets indvirkninger på miljøet (VVM). Loven træder i stedet for den VVM-tilladelse, som projektet ellers skulle have haft ifølge de almindelige administrative VVM-regler. 

Endelig indeholder lovforslaget en tilføjelse til lov om trafikselskaber, så Hovedstadens Letbane I/S får mulighed for at overlade trafikkøberansvaret til Movia."
3087,169360,,1,2016-05-31 13:00:00,17,68245,3,L 132,"Forslag til lov om ændring af lov om luftfart. (Regulering af mindre droner, justering af arbejdsmiljøregler samt afgifter og gebyrer).","Om droner, justering af arbejdsmiljøregler, og afgifter og gebyrer m.v. på luftfartsområdet.","Formålet med lovforslaget er blandt andet at sikre en balanceret og sammenhængende reguleringsramme, som vil skabe klare rammer for professionelles og privates anvendelse af droner og samtidig sikre de nødvendige samfundsmæssige hensyn til flyve- og personsikkerheden, privatlivets fred, terrorbekæmpelse m.v.

Desuden foreslås der en bagatelgrænse, så de helt små droner, der bl.a. anvendes som legetøj, kun vil være underlagt ganske få regler.

Endvidere foreslås det, at organiseringen af sikkerheds- og sundhedsarbejdet for besætningsmedlemmer under tjeneste på luftfartøjer tilpasses de generelle bestemmelser i arbejdsmiljølovgivningen.

Endelig indebærer forslaget en justering af modellen for finansieringen af Trafik- og Byggestyrelsens tilsynsvirksomhed m.v. på luftfartsområdet."
3088,169278,,1,2016-05-31 13:00:00,17,68237,3,L 134,"Forslag til lov om ændring af lov om offentlige veje m.v., jernbaneloven og forskellige andre love. (Implementering af VVM-direktivet for statslige vej- og jernbaneprojekter samt havneprojekter).",Om implementering af VVM-direktivet for statslige vej- og jernbaneprojekter samt havneprojekter.  ,"Formålet med lovforslaget er at implementere VVM-direktivet i vejloven, jernbaneloven og havnelovgivningen for statslige projekter. I forbindelse med en ændring af VVM-direktivet i 2014 blev en undtagelse fra VVM-procedure for de af Transport- og Bygningsministeriets projekter, der vedtages ved anlægslov, ophævet. Derfor implementeres der en VVM-procedure for de projekter, der vedtages ved anlægslov, i vejloven og i jernbaneloven. 

Vejdirektoratet og Banedanmark udpeges til kompetente myndigheder til at varetage VVM-processuelle opgaver frem til Folketingets vedtagelse af en anlægslov. 

Med henblik på at forenkle VVM-reglerne implementeres der samtidig en administrativ VVM-procedure, hvorefter Trafik- og Byggestyrelsen fremover vil være kompetent VVM-myndighed og meddele administrativ VVM-tilladelse til de statslige vej- og jernbaneprojekter, der ikke skal vedtages ved anlægslov."
3089,173310,,1,2016-05-31 13:00:00,17,69554,3,L 161 A,Forslag til lov om ændring af færdselsloven. (Forsøgsordning med kørekort til 17-årige betinget af ledsaget kørsel indtil det fyldte 18. år m.v.).,Om forsøgsordning med kørekort til 17-årige betinget af ledsaget kørsel indtil det fyldte 18. år m.v.,"Med lovforslaget kan der etableres en 3-årig forsøgsordning, hvorefter 17-årige kan erhverve kørekort til almindelig bil, hvis de kører med en erfaren ledsager, frem til de er fyldt 18 år.

Endvidere lægges op til, at der kan fastsættes bestemmelser om, under hvilke betingelser personer, der har ret til at føre motorkøretøj i udlandet, kan få dansk kørekort."
3090,173314,,1,2016-05-31 13:00:00,17,69555,3,L 161 B,Forslag til lov om ændring af færdselsloven. (Nedsættelse af aldersgrænsen for kørekort til lille knallert).,Om nedsættelse af aldersgrænsen for kørekort til lille knallert.,Lovforslaget lægger op til at nedsætte aldersgrænsen for kørekort til lille knallert fra 16 til 15 år og indføre krav om forældresamtykke i forbindelse med salg m.v. af knallerter til unge under 16 år. 
3091,170717,,1,2016-05-31 13:00:00,17,68691,3,L 150,"Forslag til lov om ændring af registreringsafgiftsloven, brændstofforbrugsafgiftsloven, lov om registrering af køretøjer og lov om spil. (Ændring af reglerne om forholdsmæssig registreringsafgift for leasingkøretøjer, ændring af reglerne om udbetaling af eksportgodtgørelse, fastsættelse af brændstofforbruget for særlig store biler, nedsættelse af pristillægget for ønskenummerplader m.v.).","Om forholdsmæssig registreringsafgift for leasingkøretøjer, udbetaling af eksportgodtgørelse, brændstofforbruget for særlig store biler m.v.","Lovforslagets formål er at tilrette hjemmelsgrundlaget for tilladelsesordningen for betaling af forholdsmæssig registreringsafgift for leasingkørertøjer. Det foreslås bl.a., at en række nærmere afgrænsede ændringer af en leasingaftale kan aftales efter SKATs godkendelse af aftalen, uden at disse efterfølgende ændringer medfører, at tilladelsen bortfalder. 

Lovforslaget indeholder derudover mindre justeringer af registreringsafgiftsloven vedrørende tilladelsesordningen for betaling af forholdsmæssig registreringsafgift for leasingkørertøjer og reglerne for udbetaling af eksportgodtgørelse samt en nedsættelse af pristillægget for ønskenummerplader. 

Desuden indeholder lovforslaget en ændring af brændstofforbrugsafgiftsloven, hvor det foreslås at indføre en teknisk beregning af brændstofforbruget for de særlig store personbiler, samt visse mindre tekniske justeringer.

Endelig indeholder lovforslaget en ændring i opbygningen i gebyrbestemmelsen i lov om spil, så der er mulighed for en delvis ikrafttrædelse af bestemmelsen."
3092,170551,,1,2016-05-31 13:00:00,17,68662,3,L 162,Forslag til lov om voksenansvar for anbragte børn og unge.,Om voksenansvar for anbragte børn og unge.,"Med lovforslaget tydeliggøres reglerne på området. Det sker bl.a. ved at fastsætte regler om voksenansvar og adgangen til at foretage indgreb som led i den daglige omsorg. Desuden lovfæstes adgangen til at fastsætte en husorden, og de eksisterende regler om magtanvendelse og andre indgreb i selvbestemmelsesretten over for anbragte børn og unge videreføres og præciseres. Herudover tydeliggøres adgangen til at anvende rusmiddeltest med samtykke. Det foreslås samtidig at foretage en række udvidelser af adgangen til at anvende magt over for anbragte børn og unge. 

Lovforslaget udmønter sammen med lovforslag L 163 (Konsekvensændringer som følge af lov om voksenansvar over for anbragte børn og unge m.v.) aftalen »Klare rammer for voksenansvar over for anbragte børn og unge«, som regeringen (Venstre), Socialdemokraterne, Dansk Folkeparti, Liberal Alliance, Alternativet, Radikale Venstre, Socialistisk Folkeparti og Det Konservative Folkeparti indgik i november 2015.

Loven skal træde i kraft den 1. januar 2017."
3093,170564,,1,2016-05-31 13:00:00,17,68663,3,L 163,"Forslag til lov om ændring af lov om social service, lov om socialtilsyn og lov om folkeskolen. (Konsekvensændringer som følge af lov om voksenansvar for anbragte børn og unge m.v.).",Om konsekvensændringer som følge af lov om voksenansvar for anbragte børn og unge m.v.,"Lovforslaget skal ses i sammenhæng med L 162 om voksenansvar over for anbragte børn og unge, som påvirker en række bestemmelser i andre love. Dette forslag foretager de fornødne konsekvensændringer. 

Desuden foreslås det bl.a., at kompetencen til at træffe afgørelse om anbringelse på en sikret døgninstitution eller særligt sikret afdeling flyttes fra kommunalbestyrelsen til børn og unge-udvalget, at kommunerne får mulighed for at anmode regionerne om at etablere og drive delvis lukkede afdelinger i tilknytning til sikrede døgninstitutioner, og at socialtilsynene får mulighed for at træffe afgørelse om, at en meddelt godkendelse efterfølgende kan fraviges på nærmere bestemte betingelser eller inden for en nærmere bestemt periode. 

Der vil ske en evaluering af de ændrede regler 2 år efter lovenes ikrafttræden."
3094,169237,,1,2016-05-31 13:00:00,17,68233,3,L 138,"Forslag til lov om ændring af lov om radio- og fjernsynsvirksomhed, lov om leje og lov om leje af almene boliger. (Frit valg af tv-distributør, 
distribution af digital radio m.v.).","Om frit valg af tv-distributør, distribution af digital radio m.v. ","Lovforslagets formål er at sikre borgerne størst mulig frihed til selv at kunne vælge det udbud af radio- og tv-programmer, der passer bedst til husstandens behov, samtidig med at konkurrencen på tv-distributionsmarkedet vil blive øget. Dette skal ske ved at ændre lov om radio- og fjernsynsvirksomhed, lov om leje og lov om leje af almene boliger.

Med lovforslaget foreslås det at indføre en forpligtelse til at sikre, at husstande får mulighed for at blive fritaget for tilslutning til fælles programforsyning i fællesantenneanlæg og betaling hertil.

Det foreslås, at loven træder i kraft den 1. juli 2016.
"
3095,170730,,1,2016-05-31 13:00:00,17,68692,3,L 151,Forslag til lov om ændring af lov om Udbetaling Danmark og forskellige andre love. (Overførsel af opgaver fra Statens Administrations Finansservicecenter m.fl. til Udbetaling Danmark m.v.).,Om overførsel af opgaver fra Statens Administrations Finansservicecenter m.fl. til Udbetaling Danmark m.v.,"Med lovforslaget flyttes opgaver, der hidtil er blevet varetaget af Statens Administrations Finansservicecenter til Udbetaling Danmark. Det drejer sig bl.a. om administration af tilbagebetaling af studielån, opkrævning af krav om tilbagebetaling af for meget modtaget uddannelsesstøtte, beregning og anvisning af tjenestemandspensioner m.v., forsikringsordninger for selvstændige erhvervsdrivende, statslige tilskudsordninger, udlån og garantier m.v. 

Lovforslaget medfører, at der pr. 1. oktober 2016 overdrages opgaver svarende til ca. 68 årsværk fra Statens Administrations Finansservicecenter til Udbetaling Danmark. Medarbejderne, der beskæftiger sig med opgaverne, vil blive placeret i Holstebro, Frederikshavn, Hillerød og Allerød. 

Herudover overflyttes nogle mindre opgaver, der i dag varetages af Styrelsen for Arbejdsmarked og Rekruttering under Beskæftigelsesministeriet. 

Endelig udvides bestyrelsen for Udbetaling Danmark med yderligere et medlem, der udpeges efter indstilling af finansministeren. 

Med lovforslaget udmøntes dele af aftalen mellem regeringen (Venstre) og KL om den kommunale og regionale økonomi for 2016 og en del af regeringens plan for flytning af statslige arbejdspladser »Bedre balance – statslige arbejdspladser tættere på borgere og virksomheder« fra oktober 2015.
"
3148,172412,,1,2016-06-02 10:00:00,17,69140,3,L 183,"Forslag til lov om ændring af lov om ændring af straffeloven, retsplejeloven, lov om konkurrence- og forbrugerforhold på telemarkedet, våbenloven, udleveringsloven samt lov om udlevering af lovovertrædere til Finland, Island, Norge og Sverige. (Ændring af revisionsbestemmelse).",Om ændring af revisionsbestemmelse i lov om ændring af straffeloven og forskellige andre love.,"Formålet med lovforslaget er at ændre revisionsbestemmelsen vedrørende retsplejelovens § 786, stk. 4, om pligten for udbydere af telenet- eller teletjenester til at foretage registrering og opbevaring i 1 år af oplysninger om teletrafik til brug for efterforskning og retsforfølgning af strafbare forhold, således at justitsministeren fremsætter forslag om revision af bestemmelsen i folketingsåret 2016-17 frem for 2014-15.

Det foreslås, at loven træder i kraft 1. juli 2016."
3149,172637,,1,2016-06-02 10:00:00,17,69215,3,L 186,"Forslag til lov om ændring af lov om fuldbyrdelse af straf m.v., straffeloven og retsplejeloven. (Styrket indsats mod mobiltelefoner i fængsler m.v.).",Om styrket indsats mod mobiltelefoner i fængsler m.v.,"Lovforslaget har til formål at styrke indsatsen mod mobiltelefoner i kriminalforsorgens institutioner på flere måder, bl.a. ved at

- åbne mulighed for anvendelse af kropsscannere i kriminalforsorgens institutioner,
- indføre obligatorisk disciplinærstraf og udgangskarantæne til indsatte,
- skærpe straffen for andres indsmugling af mobiltelefoner til indsatte og
- udvide strafansvaret for uretmæssig medtagelse af en mobiltelefon til at omfatte både besøgende og andre personer.

Lovforslaget indeholder på den baggrund forslag til ændringer af relevante bestemmelser i straffuldbyrdelsesloven, straffeloven og retsplejeloven.

Det foreslås, at loven træder i kraft den 1. august 2016."
3150,172650,,1,2016-06-02 10:00:00,17,69216,3,L 187,"Forslag til lov om ændring af straffeloven og om ophævelse af Lov, hvorved det forbydes fra dansk Territorium at understøtte krigsførende Magter. (Væbnede konflikter i udlandet m.v.).",Om ændring af straffeloven om deltagelse i væbnede konflikter i udlandet m.v.,"Formålet med lovforslaget er først og fremmest at styrke det strafferetlige værn mod deltagelse i væbnede konflikter i udlandet for terrorgrupper. 

Lovforslaget indeholder tre hovedpunkter:
1. Forhøjelse af strafferammen for at lade sig hverve til terrorisme eller i øvrigt at fremme virksomhed for terrororganisationer, når det sker ved at tilslutte sig en væbnet styrke.
2. Indførelse af mulighed for administrativt at forbyde indrejse og ophold i visse konfliktområder uden forudgående tilladelse fra de danske myndigheder.
3. Indførelse af ny strafbestemmelse om modtagelse af økonomisk støtte fra en terrororganisation. 

Det foreslås, at loven træder i kraft den 1. juli 2016."
3151,70075,,1,2016-06-02 10:00:00,17,28183,3,L 42,Forslag til lov om ændring af retsplejelov for Grønland. (Videoafhøring af børn og unge i kriminalsager m.v.).,Om videoafhøring af børn og unge i kriminalsager i Grønland m.v.,"Formålet med lovforslaget er at forbedre beskyttelsen af børn og unge i Grønland, der formodes at have været udsat for eller vidne til en alvorlig forbrydelse, ved især at udvide anvendelsesområdet for videoafhøring. Videoafhøring indebærer, at barnet eller den unge under efterforskningen af kriminalsagen afgiver en forklaring, der optages på video og forevises som bevis under hovedforhandlingen, i stedet for at barnet eller den unge skal møde personligt i retten og afhøres dér. 

Lovforslaget indeholder disse hovedelementer: 

1) Anvendelsesområdet for videoafhøring, der i dag som udgangspunkt kun benyttes, hvis barnet er under 13 år, udvides, så der vil kunne foretages videoafhøring af børn i alderen 13-14 år i sager om seksualforbrydelser, incest eller vold begået inden for familien. 
2) Der indføres en lovbestemmelse om, at børn og unge, der er blevet videoafhørt, fritages fra at afgive forklaring som vidne under hovedforhandlingen, hvis betingelserne for videoafhøring var opfyldt på tidspunktet for afhøringen. 
3) Det fastsættes, at en mistænkt eller en forsvarer, som vil modsætte sig, at en videoafhøring anvendes som bevis, skal indbringe spørgsmålet for retten, senest 4 uger efter at videoafhøringen er foretaget. 

Samtidig med lovforslaget behandles lovforslag L 41 og L 43 om tilsvarende regler for videoafhøring af børn i Færøerne og i Danmark.
"
3152,170463,,1,2016-06-02 10:00:00,17,68655,3,L 155,Forslag til lov for Grønland om kontrol med den fredelige udnyttelse af nukleart materiale.,Om kontrol med og den fredelige udnyttelse af nukleart materiale fra Grønland.,"Lovforslaget regulerer sikkerhedskontrol med nukleart materiale i Grønland med henblik på at sikre den fredelige udnyttelse af nukleart materiale, herunder uran, og for at leve op til Kongeriget Danmarks internationale sikkerhedskontrolforpligtelser på området. Baggrunden for lovforslaget var Inatsisartuts (Grønlands parlament) principbeslutning i 2013 om at ophæve nultolerancepolitikken over for efterforskning og udvinding af uran og andre radioaktive stoffer og den deraf følgende aftale mellem den danske regering og Naalakkersuisut (Grønlands regering) vedrørende de særlige udenrigs-, forsvars- og sikkerhedspolitiske forhold, der knytter sig til udvinding og eksport af uran og andre radioaktive stoffer i Grønland. Lovforslaget skal ses i sammenhæng med lovforslag L 158 om kontrol med eksport af produkter med dobbelt anvendelse fra Grønland."
3153,169209,,1,2016-06-02 10:00:00,17,68230,3,L 139,Forslag til lov om ændring af lov om Dansk Institut for Internationale Studier. (Fastsættelse af instituttets hjemsted).,Om fastsættelse af Dansk Institut for Internationale Studiers hjemsted. ,"Lovforslaget har til formål at ændre lovgrundlaget for Dansk Institut for Internationale Studier, således at instituttet kan flyttes fra København til Aarhus som led i regeringens plan for udflytning af statslige arbejdspladser.

Det foreslås, at loven træder i kraft den 1. oktober 2016.
"
3154,70440,,1,2016-06-02 10:00:00,17,28306,3,L 58,"Forslag til lov om ændring af lov om dyrkning m.v. af genetisk modificerede afgrøder og lov om miljø og genteknologi. (Dyrkningsforbud, obligatorisk digital kommunikation m.v.).",Om forbud mod GMO dyrkning m.v.,"Lovforslaget gennemfører Europaparlamentets og Rådets direktiv (EU) 2015/412 af 11. marts 2015, som omhandler medlemsstaternes mulighed for at begrænse eller forbyde dyrkning af genetisk modificerede organismer (gmo) på deres eget område. Direktivet giver mulighed for at søge om geografisk dyrkningsundtagelse hos producenten for en specifik afgrøde eller at indføre et nationalt forbud mod en bestemt egenskab eller plante. 

Et nationalt forbud kan alene implementeres, hvis det ikke strider mod den miljørisikovurdering, som er udarbejdet i forbindelse med godkendelsesproceduren i EU, og kun hvis der er »tungtvejende grunde« i den nationale kontekst for et forbud. Tungtvejende grunde kan f.eks. være miljøpolitiske mål, fysisk planlægning, socioøkonomiske virkninger m.m.

Lovforslaget indebærer ændringer af lov om dyrkning af genetisk modificerede afgrøder (sameksistensloven) og lov om miljø og genteknologi (genteknologiloven). I forbindelse med Folketingets behandling af lovforslaget stillede EL en række ændringsforslag, der indebar, at alle gmo-sager omfattet af lovforslaget skal forelægges for Folketingets Miljø- og Fødevareudvalg, før afgrøderne kan godkendes til dyrkning eller afvises til dyrkning i Danmark. EL's ændringsforslag blev vedtaget med støtte fra alle partier. I følge det oprindeligt fremsatte lovforslag fik ministeren bemyndigelse til at fastsætte de nærmere regler for begrænsning eller forbud mod dyrkning af genetisk modificerede frø m.m. og til at fastsætte regler i grænseområderne for at forhindre spredning til andre marker. 

Derudover indfører lovforslaget obligatorisk digital kommunikation i forbindelse med sameksistensloven. 

"
3155,169386,,1,2016-06-02 10:00:00,17,68247,3,L 137,"Forslag til lov om ændring af dyreværnsloven. (Skærpelse af straffen i grove dyreværnssager, præcisering af dyrs status som levende væsener, skærpelse af reglerne om rettighedsfrakendelse, meddelelse af påbud og forbud, ophævelse af krav om tilladelse til æglægningsbure).","Om strafskærpelse, påbuds- og forbudsordning på dyreværnsområdet og ophævelse af krav om tilladelse til æglægningsbure.","Med lovforslaget foreslås en ændring af dyreværnsloven, således at straffen skærpes for overtrædelse af dyreværnsloven i sager om mishandling af dyr, grovere uforsvarlig behandling af dyr og i gentagelsestilfælde af uforsvarlig behandling af dyr. Forslaget omfatter overtrædelser begået i forbindelse med udøvelse af erhverv såvel som privates behandling af dyr. 

Lovforslaget indeholder desuden, at den nuværende påbudsbestemmelse udvides, så det i videre udstrækning er muligt at anvende påbud på området. Der skal derudover indføres hjemmel til at meddele forbud. 

Loven træder i kraft den 1. juli 2016."
3156,171945,,1,2016-06-02 10:00:00,17,68954,3,L 172,Forslag til lov om ændring af lov om fremme af vedvarende energi. (Ændring af støtteordninger til biogas).,Om ændring af støtteordninger til biogas.,"Formålet med lovforslaget er at gennemføre de støtteordninger til biogas til transport, procesformål i virksomheder og varmeproduktion, som blev besluttet i energiaftalen fra 2012. Støtteordningernes gennemførelse har afventet Europa-Kommissionens godkendelse, da de indeholder statsstøtte. 

Lovforslaget indsætter en definition af biogas, så man kan se, om ens biogas er berettiget til at modtage støtte. Forslaget indeholder desuden regler, der sikrer, at der ikke kan modtages støtte under transportstøtteordningen til biogas, som indgår i det lovfæstede iblandingskrav for brændstof til transport. Endelig er der regler, der sikrer, at der årligt foretages en vurdering af, om støtteordningerne kan føre til overkompensation."
3157,171932,,1,2016-06-02 10:00:00,17,68953,3,L 173,"Forslag til lov om ændring af lov om Energinet.dk, lov om naturgasforsyning og lov om etablering og benyttelse af en rørledning til transport af råolie og kondensat. (Energinet.dk's varetagelse af gasopstrømssystem-, olierørlednings- og separationsvirksomhed samt økonomisk regulering af naturgasdistributionsvirksomhed varetaget af Energinet.dk m.v.).",Om Energinet.dk's naturgasdistributionsvirksomhed m.v.,"Lovforslagets hovedformål er at etablere de lovgivningsmæssige rammer for, at Energinet.dk vil kunne overtage og drive DONG Energy A/S’ naturgasinfrastruktur og olierørledningen fra Nordsøen til Fredericia. Dette er forudsat i en aftale om børsnotering af DONG, som blev indgået den 18. september 2015 mellem regeringen (V), S, RV, SF og KF. 

Lovforslaget indeholder således forslag til, at Energinet.dk får hjemmel til at varetage gasopstrømssystemvirksomhed og olierørledningsvirksomhed og dertil knyttet separationsvirksomhed. For at sikre, at alle naturgasdistributionsselskaber bliver underlagt den samme økonomiske regulering, foreslås desuden, at distributionsvirksomhed drevet i Energinet.dk’s regi bliver underlagt den indtægtsrammeregulering, der gælder for de andre naturgasdistributionsselskaber."
3158,172215,,1,2016-06-02 10:00:00,17,69055,3,L 174,"Forslag til lov om ændring af arkivloven. (Kroers, foreningers og virksomheders anvendelse af kongekronen).","Om kroers, foreningers og virksomheders anvendelse af kongekronen.","Med loven tildeles kulturministeren hjemmel til at fastsætte nærmere regler om kongekronens anvendelse, herunder regler om kongekronens anvendelse som en del af foreningers og virksomheders logo."
3161,170661,,1,2016-06-02 10:00:00,17,68681,3,L 165,"Forslag til lov om ændring af sundhedsloven, lov om klage- og erstatningsadgang inden for sundhedsvæsenet og lov om tilbageholdelse af stofmisbrugere i behandling. (Styrket indsats for gravide med et misbrug af rusmidler).",Om styrket indsats for gravide med et misbrug af rusmidler.,"Med lovforslaget styrkes de eksisterende muligheder for at tilbyde gravide kvinder med misbrug af rusmidler behandling med mulighed for tilbageholdelse. Formålet med lovforslaget er således at nedbringe antallet af børn, der fødes med helbredsproblemer og skader, fordi moderen har haft et forbrug eller misbrug af rusmidler, herunder alkohol, under graviditeten.
Loven træder i kraft den 1. januar 2017.
"
3162,170691,,1,2016-06-02 10:00:00,17,68689,3,L 166,Forslag til lov om tobaksvarer m.v.,Om tobaksvarer m.v.,"Lovforslaget har til formål at gennemføre dele af Europa-Parlamentets og Rådets direktiv 2014/40/EU af 3. april 2014 om indbyrdes tilnærmelse af medlemsstaternes love og administrative bestemmelser om fremstilling, præsentation og salg af tobak og relaterede produkter og om ophævelse af direktiv 2001/37/EF (tobaksvaredirektivet) i dansk ret. 

Lovforslaget indfører desuden yderligere krav vedrørende ingredienser i og emissioner fra tobaksvarer og til mærkning og emballering af tobaksvarer. Desuden indføres en forpligtelse til at anmelde nye kategorier af tobaksvarer, inden de markedsføres, og der indføres en registreringspligt for detailforhandlere af tobaksvarer, der markedsfører produkter ved hjælp af fjernsalg på tværs af grænser. Herudover indfører lovforslaget regler for urtebaserede rygeprodukter. Endelig indeholder lovforslaget et forbud mod markedsføring af tobaksvarer med en kendetegnende aroma. 

De forskellige bestemmelser i lovforslaget har forskellig ikrafttrædelsesdato."
3164,169321,,1,2016-06-02 10:00:00,17,68242,3,L 123,"Forslag til lov om ændring af lov om indkomstbeskatning af aktieselskaber m.v., aktieavancebeskatningsloven, virksomhedsskatteloven og forskellige andre love og om ophævelse af lov om investeringsfonds. (Tilpasning i forhold til EU-retten med hensyn til genbeskatning af underskud i faste driftssteder, definition af datterselskabsaktier og nedsættelse af indkomstskattesatsen på udgående udbytter samt indgreb mod omgåelse af udbyttebeskatningen i forbindelse med investering i investeringsinstitutter, justering af indgrebet i virksomhedsordningen og andre justeringer af erhvervsbeskatningen).","Om ændring af lov om indkomstbeskatning af aktieselskaber m.v., aktieavancebeskatningsloven, virksomhedsskatteloven og forskellige andre love på flere punkter samt ophævelse af lov om investeringsfonds.","Lovforslaget har til formål at skabe klarhed om retstilstanden på en række områder inden for erhvervsbeskatningen.

Formålet med en del af lovforslaget er at bringe erhvervsbeskatningen i overensstemmelse med EU-retten på tre punkter, hvor gældende lovgivning har vist sig at være i strid med EU-traktatens bestemmelser om fri bevægelighed. 

For det første foreslås der som opfølgning på en dom fra EU-Domstolen en justering af reglerne om genbeskatning af udenlandske underskud fra før 2005 i faste driftssteder, når det faste driftssted afstås koncerninternt. For det andet foreslås en justering af definitionen af datterselskabsaktier som følge af en anden dom fra EU-Domstolen. For det tredje foreslås en nedsættelse af indkomstbeskatningen af udenlandske selskaber, der modtager udbytter fra danske selskaber. Det foreslås, at satsen nedsættes fra 27 pct. til 22 pct. svarende til selskabsskattesatsen for 2016. 

Herudover har lovforslaget til formål at imødegå muligheden for at omgå udbyttebeskatning ved investering via investeringsinstitutter og at foretage en teknisk justering af indgrebet mod utilsigtet udnyttelse af virksomhedsordningen, som blev gennemført i 2014.

Endelig foreslås en række mindre justeringer af erhvervsbeskatningen. Det drejer sig dels om en justering, som medfører, at foreninger, havne, vandforsyningsselskaber m.v. får mulighed for at opnå en begrænset indtægt ved salg af el til nettet, uden at de generelt anses for at drive elvirksomhed. Derudover drejer det sig om en ophævelse af lov om investeringsfonds, da investeringsfondsordningen er udfaset, og om en ændring af indberetningsreglerne for administratorer af værdipapirfonde.

Det foreslås, at loven træder i kraft den 1. juli 2016."
3165,170538,,1,2016-06-02 10:00:00,17,68661,3,L 153,Forslag til lov om ændring af lov om almene boliger m.v. og lov om leje af almene boliger. (Inklusionsboliger).,Om inklusionsboliger.,"Med lovforslaget udmøntes satspuljeaftalen for 2016, hvorefter der afsættes i alt 30 mio. kr. i årene 2017-2019 til etablering af inklusionsboliger for psykisk og socialt sårbare. 

Det foreslås, at boligerne skal etableres i almene familieboliger efter aftale mellem kommunalbestyrelsen og boligorganisationen. Det vil være kommunalbestyrelsen, der har anvisningsretten til boligerne. I forlængelse heraf garanterer kommunen for lejetab ved uudlejede boliger og for boligorganisationens udgifter til istandsættelse ved fraflytning. Der vil til boligerne være knyttet sociale støttefunktioner, der ydes af en social vicevært. 

Der vil være tale om tidsbegrænsede tilbud, idet formålet med boligerne er, at psykisk og socialt sårbare personer i løbet af en periode, der som udgangspunkt kan være på højst 2 år, understøttes i at opnå en selvstændig tilværelse i egen bolig uden sociale støttefunktioner tilknyttet og herunder i at opnå en mere stabil tilknytning til arbejdsmarked og uddannelse. Boligerne etableres med statsstøtte. Det foreslås, at tilskud ydes for en 15-årig periode efter en konkret vurdering af de indkomne ansøgninger. 

Det foreslås, at lovforslaget træder i kraft den 1. juli 2016."
3166,170525,,1,2016-06-02 10:00:00,17,68660,3,L 154,Forslag til lov om ændring af lov om byfornyelse og udvikling af byer. (Målretning af byfornyelsesinstrumenter til at forbedre boliger og igangsætte udvikling af byer uden for vækstområder).,Om målretning af byfornyelsesinstrumenter til at forbedre boliger og igangsætte udvikling af byer uden for vækstområder.,"Lovforslaget indeholder en række tiltag, der har til formål at styrke de byfornyelsesredskaber, som er mest relevante for de mindre byer og provinsbyer uden for vækstområderne. Samtidig foreslås en omprioritering af de statslige midler til byfornyelse til disse områder. Med lovforslaget får kommunerne således en række yderligere redskaber til at understøtte omdannelsesprocessen i mindre byer. 

Det er hensigten at gennemføre en evaluering 3 år efter lovens ikrafttræden. 

Det foreslås, at loven træder i kraft den 1. juli 2016. "
3167,171340,,1,2016-06-02 10:00:00,17,68799,3,L 168,Forslag til lov om ændring af udlændingeloven. (Beløbsordningen).,Om ændring af udlændingeloven.,"Med lovforslaget forslås, at den nuværende beløbsgrænse på 375.000 kr. i beløbsordningen skal hæves, så den årlige aflønning fremover mindst skal udgøre 400.000 kr., og at beløbet årligt reguleres med satsreguleringsprocenten og en tilpasningsprocent, så reguleringen kommer til at svare til lønudviklingen i samfundet."
