afstemningid,sagstrinid,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort,sag_titel_en
7199,204139,1,2019-11-26 00:00:00,17,80344,3,L 30,Forslag til lov om ændring af økologiloven og lov om hold af dyr. (Indførelse af mulighed for rekvireret vejledning).,Om indførelse af mulighed for rekvireret vejledning for økologiloven og for lov om hold af dyr. ,Proposal for a law amending the law on ecology and the law on animal husbandry.
7200,204056,1,2019-11-26 00:00:00,17,80337,3,L 32,"Forslag til lov om ændring af lov om markedsføring. (Opdeling af fysiske og juridiske personer i forbrugerbegrebet, præcisering af bestemmelsen om aggressiv handelspraksis og tilpasning af samtykkekrav m.v.).",Om opdeling af fysiske og juridiske personer i markedsføringslovens forbrugerbegreb m.v.,"Proposal for a law amending the Law on Marketing. (Sharing natural and legal persons into the concept of consumer, clarifying the provision on aggressive commercial practices and adapting consent requirements, etc.)."
7201,204030,1,2019-11-26 00:00:00,17,80335,3,L 33,"Forslag til lov om ændring af udbudsloven. (Bortfald af retten til at dokumentere sin pålidelighed, hvis ansøger eller tilbudsgiver er udelukket som følge af endelig dom, præcisering af kravene til indholdet af opfordringer til at afgive tilbud m.v.).",Om gennemførelse af direktiv om udbud.,"Proposal for a law amending the Procurement Act. (Distance of the right to prove its reliability if the candidate or tenderer is excluded as a result of final judgment, clarification of the requirements for the content of invitations to tender, etc.)."
7203,204191,1,2019-11-28 00:00:00,17,80348,3,L 7,Forslag til lov om ændring af lov om social service og ligningsloven. (Styrket behandlingsgaranti for personer med et stofmisbrug m.v.).,Om styrket social behandlingsgaranti for personer med et stofmisbrug m.v.,Proposal for a law amending the Social Services Act and the Equalisation Act.
7204,204217,1,2019-11-28 00:00:00,17,80350,3,L 8,"Forslag til lov om ændring af lov om social service. (Afskaffelse af forudgående børnesamtale ved økonomisk støtte til forældremyndighedsindehaveren, afskaffelse af særhandleplaner og afskaffelse af afgørelse om revision af handleplan m.v.).

",Om afskaffelse af forudgående børnesamtale ved økonomisk støtte til forældremyndighedsindehaveren m.v.,Proposal for a law amending the Social Services Act.
7205,204230,1,2019-11-28 00:00:00,17,80351,3,L 16,"Forslag til lov om ændring af lov om elforsyning, lov om Energinet og lov om fremme af vedvarende energi. (Supplerende regler til forordning om det indre marked for elektricitet, ændrede regler for kabellægning m.v. af eltransmissionsnet samt udløb af støtteordning for elektricitet produceret på decentrale kraft-varme-anlæg med naturgas eller biogas m.v.).",Om supplerende regler til elmarkedsforordningen og udløb af støtteordning for elektricitet produceret på decentrale kraft-varme-anlæg med naturgas.,"Proposal for a law amending the Law on electricity supply, the Law on Energy Networks and the Law on the Promotion of Renewable Energy."
7206,204204,1,2019-11-28 00:00:00,17,80349,3,L 17,"Forslag til lov om ændring af lov om naturgasforsyning og lov om Energinet. (Gennemførelse af ændret gasdirektiv, præcisering af transmissionsselskabers ansvar for gasforsyningssikkerhed og præcisering af ekspropriationsadgang for gasinfrastruktur m.v.).",Om gennemførelse af gasdirektivet m.v.,"Proposal for a law amending the Act on natural gas supply and the Act on Energy Networks. (Implementation of amended gas directive, clarification of the responsibility of transmission companies for gas security and clarification of expropriation access for gas infrastructure, etc.)."
7207,204113,1,2019-11-28 00:00:00,17,80342,3,L 34,"Forslag til lov om ændring af lov om klage- og erstatningsadgang inden for sundhedsvæsenet og sundhedsloven. (Begrænsning af ressourcereglen ved kræftscreeninger, udvidelse af lægemiddelskadeordningen i nød- og beredskabssituationer m.v.).",Om begrænsning af ressourcereglen ved kræftscreeninger m.m.,"Proposal for a law amending the Law on access to justice and compensation in health and health care. (Restricting the resource rule for cancer screening, extending the pharmaceutical injury regime in emergency and emergency situations, etc.)."
7208,204126,1,2019-11-28 00:00:00,17,80343,3,L 35,"Forslag til lov om ændring af lov om videnskabsetisk behandling af sundhedsvidenskabelige forskningsprojekter, sundhedsloven, lov om klage- og erstatningsadgang inden for sundhedsvæsenet og lægemiddelloven. (Styrkelse af borgernes tryghed og tillid til sundhedsforskning samt forbedrede rammer for sundhedsforskning).",Om styrkelse af borgernes tryghed og tillid til sundhedsforskning m.v.,"Proposal for a law amending the Law on the Scientific Treatment of Health Scientific Research Projects, the Health Act, the Law on Complaints and Replacement Access in Healthcare and the Medical Law. (Strengthening citizens' safety and confidence in health research as well as improved health research framework)."
7209,203965,1,2019-11-28 00:00:00,17,80330,3,L 12,Forslag til lov om ændring af lov om almene boliger m.v. (Tilsagn til nybyggeri opført i samarbejde med privat part).,Om tilsagn til alment nybyggeri opført i samarbejde med privat part.,"Proposal for a law amending the law on general housing, etc. (Addendums to new buildings built in cooperation with private parties)."
7210,206550,1,2019-11-28 00:00:00,17,81204,3,L 27 A,"Forslag til lov om ændring af chokoladeafgiftsloven, lov om forskellige forbrugsafgifter, momsloven og forskellige andre love. (Godtgørelse af visse punktafgifter til godkendte humanitære organisationer m.v., ændring vedrørende konsignationslagre, kædehandel og bekæmpelse af momssvig ved EU-handel, overførsel af varer til andre EU-lande, ændring af reglerne om udtagning af varer, ydelser og aktiver og præcisering af EU-regel om levering mod vederlag m.v.)",Om gennemførelse af nye EU-momsregler m.v.,"Proposal for a law amending the chocolate tax law, the law on various excise duties, the VAT law and various other laws."
7211,204243,1,2019-11-28 10:00:00,17,80352,3,L 21,"Forslag til lov om ændring af momsloven, kildeskatteloven og lov om inddrivelse af gæld til det offentlige. (Digitale salgsregistreringssystemer og ændring af reglerne om udstedelse af skattekort til tredjelandsstatsborgere).",Om digitale salgsregistreringssystemer og udstedelse af skattekort til tredjelandsstatsborgere.,"Proposal for a law amending the VAT Act, the Law on withholding tax and the Law on the recovery of public debt. (Digital sales registration systems and amendment of the rules on the issuing of tax cards to third-country nationals)."
7215,203952,1,2019-12-05 00:00:00,17,80329,3,L 31,Forslag til lov om ændring af lov om vandforsyning m.v. (Obligatorisk kommunal vurdering af boringsnære beskyttelsesområder og pligt til indberetning m.v.).,Om obligatorisk kommunal vurdering af boringsnære beskyttelsesområder og pligt til indberetning m.v. på vandforsyningsområdet.,"Proposal for a law amending the Law on water supply, etc. (Obligatory municipal assessment of borehole protection areas and reporting obligations, etc.)."
7216,205129,1,2019-12-05 00:00:00,17,80728,3,L 40,"Forslag til lov om ændring af lov om registrering af ledningsejere. (Indsættelse af overgangsbestemmelse, bestemmelse om at udstille graveforespørgsler m.m.).",Om indsættelse af overgangsbestemmelse og andre ændringer på ledningsejerområdet.,"Proposal for a law amending the law on the registration of cable owners. (Inclusion of transitional provision, provision to exhibit grave queries, etc.)."
7217,205593,1,2019-12-05 00:00:00,17,80917,3,L 46,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om betalinger, lov om kapitalmarkeder, lov om investeringsforeninger m.v. og selskabsloven og forskellige andre love. (Direkte debitering, håndtering af erstatningskrav i henhold til en byggeskadeforsikring tegnet i Qudos Insurance A/S, whistleblowerordning for virksomheder med begrænset tilladelse, revisors meddelelsespligt til Finanstilsynet og ændring af procedure ved indløsning af minoritetsaktionærer m.v.).",Om direkte debitering og whistleblowerordning for virksomheder med begrænset tilladelse m.v.,"Proposal for a law amending the Law on Financial Activities, the Act on Payments, the Law on Capital Markets, the Act on Investment Funds, etc., and the Companies Act and various other laws. (Direct debits, handling of claims under a building damage insurance contract signed in the Qudos Insurance A/S, whistleblower scheme for companies with limited permission, statutory auditor's obligation to notify the FSA and amendment of the procedure for redemption of minority shareholders, etc.)."
7219,206561,1,2019-12-10 00:00:00,17,81205,3,L 27 B,Forslag til lov om ændring af momsloven. (Værnsregel mod misbrug af særordningen for rejsebureauer).,Om værnsregel mod misbrug af særordningen for rejsebureauer.,Proposal for a law amending the VAT Act.
7220,204753,1,2019-12-10 00:00:00,17,80537,3,L 37,"Forslag til lov om ændring af udlændingeloven. (Bemyndigelse til at fastsætte integrationsrelevante krav som betingelse for tidsubegrænset opholdstilladelse på Færøerne, hjemmel til delegation af kompetence til at træffe afgørelse i 1. instans om ophold på Færøerne til færøske myndigheder og ændring af klageadgang i sådanne sager til Udlændingenævnet).",Om bemyndigelse til at fastsatte integrationsrelevante krav som betingelse for tidsubegrænset opholdstilladelse på Færøerne m.v. ,"Proposal for a law amending the Aliens Act. (Authorisation to lay down integration-relevant requirements as a condition for permanent residence permit in the Faroe Islands, authority to delegate the competence to decide at first instance on residence in the Faroe Islands to Faroese authorities and amendment of the right of appeal in such cases to the Foreigners' Board)."
7228,204375,1,2019-12-12 00:00:00,17,80363,3,L 9,Forslag til lov om ændring af straffeloven. (Forbud til dømte seksualforbrydere).,Om forbud til dømte seksualforbrydere.,Draft law amending the criminal code. (Prohibits to convicted sex offenders).
7229,204043,1,2019-12-12 00:00:00,17,80336,3,L 10,Forslag til lov om ændring af straffeloven. (Begrænsning af brugen af betinget dom med vilkår om samfundstjeneste i sager om vold).,Om begrænsning af brugen af samfundstjeneste i sager om vold m.v.,Draft law amending the Criminal Code. (Restricting the use of conditional sentence with terms on community service in cases of violence).
7230,203978,1,2019-12-12 00:00:00,17,80331,3,L 11,"Forslag til lov om ændring af retsplejelov for Grønland. (Gengivelse af forklaringer i kriminalsager, revision af reglerne om legemsundersøgelse, normering af Retten i Grønland m.v.).",Om forskellige ændringer af retsplejeloven for Grønland. ,"Proposal for a law amending the Law on the administration of justice for Greenland (Reproduction of explanations in criminal cases, revision of the rules on body examination, standardisation of the Court in Greenland, etc.)."
7231,203939,1,2019-12-12 00:00:00,17,80328,3,L 20,Forslag til lov om ændring af lov om scenekunst. (Udmøntning af stemmeaftale om ændringer på scenekunstområdet af 20. marts 2019).,Om udmøntning af aftale om ændringer på scenekunstområdet.,Proposal for a law amending the Act on Performing Art. (Employing voting agreement on changes in the field of Performing Art of 20 March 2019).
7316,203877,1,2019-12-19 00:00:00,17,80321,3,L 2,"Forslag til lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2023.","Om udgiftslofter for stat, kommuner og regioner for finansåret 2023.","Proposal for a law on the establishment of expenditure ceilings for state, municipalities and regions for the financial year 2023."
7317,203890,1,2019-12-19 00:00:00,17,80322,3,L 3,"Forslag til lov om ændring af lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2020, lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2021 og lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2022. (Konsekvenser af regeringens forslag til finanslov for 2020).","Om udgiftslofter for stat, kommuner og regioner for finansåret 2020, 2021 og 2022.","Proposal for a law amending the Law on the establishment of expenditure ceilings for state, municipalities and regions for the financial year 2020, the Law on the establishment of expenditure ceilings for state, municipalities and regions for the financial year 2021 and the Law on the establishment of expenditure ceilings for state, municipalities and regions for the financial year 2022."
7318,205102,1,2019-12-19 00:00:00,17,80726,3,L 41,Forslag til lov om indfødsrets meddelelse.,Om indfødsrets meddelelse.,Draft law on the notification of citizenship.
7321,205370,1,2019-12-19 00:00:00,17,80836,3,L 43,Forslag til lov om ændring af udlændingeloven. (Afskaffelse af kravet om vellykket integration i sager om familiesammenføring med børn og indførelse af en frist på 3 måneder for indgivelse af ansøgning).,Om afskaffelse af kravet om vellykket integration og indførelse af en frist på 3 måneder for indgivelse af ansøgning om familiesammenføring.,Proposal for a law amending the law on foreigners (Delivering the requirement for successful integration in cases of family reunification with children and introducing a period of 3 months for the submission of applications).
7322,206026,1,2019-12-19 00:00:00,17,81038,3,L 58,"Forslag til lov om ændring af hvidvaskloven, lov om finansiel virksomhed og forskellige andre love. (Styrkelse af indsatsen mod finansiel kriminalitet og gennemførelse af 4. og 5. hvidvaskdirektiv).",Om styrkelse af indsatsen mod finansiel kriminalitet.,"Proposal for a law amending the law on money laundering, the law on financial activities and various other laws. (Strengthening the fight against financial crime and the implementation of the Fourth and Fifth Money Laundering Directives)."
7323,205116,1,2019-12-19 00:00:00,17,80727,3,L 39,"Forslag til lov om ændring af lov om fremme af vedvarende energi, lov om naturgasforsyning og lov om elforsyning. (Ændring af støtteordninger til anvendelse af biogas).",Om ændring af støtteordninger til anvendelse af biogas.,"Proposal for a law amending the law on the promotion of renewable energy, the Act on natural gas supply and the Law on electricity supply. (Amendment of aid schemes for the use of biogas)."
7324,205961,1,2019-12-19 00:00:00,17,81032,3,L 50,"Forslag til lov om ændring af lov om vandsektorens organisering og økonomiske forhold, lov om elforsyning, lov om varmeforsyning og selskabsskatteloven. (Hjemmel til forberedelse og implementering af justeret økonomisk regulering af vandsektoren, mindre, forbrugerejede vandselskabers mulighed for at udtræde af den økonomiske regulering og skattepligt m.v.)",Om hjemmel til forberedelse af justeret økonomisk regulering af vandsektoren m.v.,"Proposal for a Law amending the Law on the Organisation and Economic Situation of the Water Sector, the Law on Electricity Supply, the Law on Heat Supply and the Corporate Tax Act. (Register to prepare and implement adjusted economic regulation of the water sector, the possibility for small consumer-owned water companies to withdraw from economic regulation and tax liability, etc.)"
7325,206013,1,2019-12-19 00:00:00,17,81037,3,L 51,Forslag til lov om ændring af biobrændstofloven. (Ændring af krav til anvendelse af bæredygtige biobrændstoffer i brændstof til landtransport og ændring af dobbelttællingsbestemmelse m.v.).,Om anvendelse af bæredygtige biobrændstoffer i brændstof til landtransport og præcisering af dobbelttællingsbestemmelse.,"Proposal for a law amending the Biofuel Act. (Amendment of requirements for the use of sustainable biofuels in land transport fuel and amendment of double counting provisions, etc.)."
7326,205580,1,2019-12-19 00:00:00,17,80916,3,L 47,Forslag til lov om ændring af lov om offentlighed i forvaltningen. (Ophævelse af revisionsbestemmelse).,Om ophævelse af revisionsbestemmelse i lov om offentlighed i forvaltningen.,Proposal for a law amending the law on public disclosure in the administration.
7327,206065,1,2019-12-19 00:00:00,17,81041,3,L 59,"Forslag til lov om ændring af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v., lov om institutioner for erhvervsrettet uddannelse, lov om private institutioner for gymnasiale uddannelser, lov om de gymnasiale uddannelser, lov om erhvervsuddannelser og lov om kommunal indsats for unge under 25 år. (Ny udbudsmulighed på gymnasier, nyt henvisningstaxameter, afskaffelse af muligheden for at udskifte oldtidskundskab med andre fag på uddannelsen til almen studentereksamen på private gymnasier, optag på adgangskurser og grundforløb plus og sammensætning af Rådet for de Grundlæggende Erhvervsrettede Uddannelser).",Om dispensation til udbud af grundforløb i erhvervsuddannelse på offentlige og private gymnasiale institutioner m.v.,"Proposal for a law amending the law on institutions for general upper secondary education and adult education, etc., the law on institutions for vocational education and training, the law on private institutions for upper secondary education, the law on upper secondary education, the law on vocational training and the law on municipal action for young people under 25 years of age."
7328,206052,1,2019-12-19 00:00:00,17,81040,3,L 60,Forslag til lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag. (Modelparametre for erhvervsuddannelser til brug for beregning af praktikpladsafhængigt arbejdsgiverbidrag for 2020 og justering af det aktivitetsafhængige VEU-bidrag for 2020 m.v.).,Om modelparametre for erhvervsuddannelser til beregning af Arbejdsgivernes Uddannelsesbidrag og justering af VEU-bidrag m.v.,"Proposal for a law amending the Law on Employers' Educational Contribution. (Model parameters for vocational training to be used for calculating internship-dependent employer contributions for 2020 and adjusting the activity-dependent VEU contribution for 2020, etc.)."
7329,206039,1,2019-12-19 00:00:00,17,81039,3,L 61,Forslag til lov om ændring af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v. og lov om institutioner for erhvervsrettet uddannelse. (Mulighed for fastsættelse af lokale elevfordelingsregler).,Om mulighed for fastsættelse af lokale elevfordelingsregler på gymnasieområdet m.v.,"Proposal for a law amending the law on institutions for general upper secondary education and general adult education, etc., and the law on institutions for vocational training."
7330,206078,1,2019-12-19 00:00:00,17,81042,3,L 62,Forslag til lov om ændring af lov om jordbrugets anvendelse af gødning og om næringsstofreducerende tiltag og lov om Landdistriktsfonden. (Frivillig ordning om kvælstofreducerende virkemidler og kriterier for anvendelse af brødhvedenormen).,Om frivillig ordning om kvælstofreducerende virkemidler og kriterier for anvendelse af brødhvedenormen m.v.,Proposal for a Law amending the Law on the Use of Fertilizers in Agriculture and on Nutrient Reduction Measures and the Rural Fund Act.
7332,203991,1,2019-12-19 00:00:00,17,80332,3,L 13,Forslag til lov om ændring af byggeloven. (Bemyndigelse til fastsættelse af regler om ladestandere og bygningsautomatiserings- og kontrolsystemer).,Om bemyndigelse til fastsættelse af regler om ladestandere og bygningsautomatiserings- og kontrolsystemer.,Proposal for a law amending the Building Act.
7333,205647,1,2019-12-19 00:00:00,17,80921,3,L 49,"Forslag til lov om ændring af skatteindberetningsloven, skattekontrolloven, kildeskatteloven, ligningsloven og pensionsbeskatningsloven. (Gennemførelse af direktiv om obligatorisk automatisk udveksling af oplysninger på beskatningsområdet i forbindelse med indberetningspligtige grænseoverskridende ordninger).",Om obligatorisk automatisk udveksling af oplysninger på beskatningsområdet i forbindelse med indberetningspligtige grænseoverskridende ordninger.,"Proposal for a law amending the tax reporting law, the tax control law, the withholding tax law, the equation law and the pension tax law. (Implementation of the directive on the mandatory automatic exchange of information in the field of taxation in the context of reporting cross-border schemes)."
7335,207657,1,2019-12-19 00:00:00,17,81605,3,L 64 B,Forslag til lov om ændring af lov om inddrivelse af gæld til det offentlige og skatteindberetningsloven. (Ophævelse af fradragsret for renter af fordringer under inddrivelse).,Om ophævelse af fradragsret for renter af fordringer under inddrivelse.,Proposal for a law amending the Law on the Recovery of Debts to the Government and the Tax Reporting Act.
7337,204348,1,2019-12-20 09:00:00,17,80361,3,L 4,"Forslag til lov om ændring af aktieavancebeskatningsloven, kursgevinstloven, ligningsloven og forskellige andre love. (Hovedaktionærers delsalg af aktier i selskaber med flere aktieklasser, beskatning ved nedsættelse af gæld, beskatning af kapitalfondspartnere og omdannelsesdatoen ved skattefri virksomhedsomdannelse).",Om hovedaktionærers delsalg af aktier i selskaber med flere aktieklasser m.v.,"Draft law amending the Share Profit Tax Act, the Exchange Profit Act, the Equalisation Act and various other laws. (Shareholders' share sales in companies with several classes of shares, debt reduction tax, taxation of capital fund partners and the conversion date of tax-free business conversion)."
7338,204295,1,2019-12-20 09:00:00,17,80356,3,L 25,"Forslag til lov om ændring af pensionsbeskatningsloven, pensionsafkastbeskatningsloven, selskabsskatteloven og forskellige andre love. (Videregivelse af oplysninger om diskvalificerende pensionsudbetalinger, smidiggørelse af regler for flytning af pensionsindbetalinger, justering af reglerne om omdannelse af pensionskasser til livsforsikringsselskaber og goodwillbeskatning m.v.).",Om forskellige ændringer af regler for pensionsudbetalinger og pensionsindbetalinger samt justering af reglerne om omdannelse af pensionskasser til livsforsikringsselskaber m.v.,"Proposal for a law amending the Pension Taxation Act, the Pension Return Tax Act, the Corporate Tax Act and various other laws. (Surveillance of information on disqualifying pension payments, flexibility of rules on the transfer of pension payments, adjustment of rules on the transformation of pension funds into life insurance companies and goodwill taxation, etc.)."
7339,204777,1,2019-12-20 00:00:00,17,80541,3,L 36,Forslag til lov om ændring af lov om beskatning af fortjeneste ved afståelse af fast ejendom og virksomhedsskatteloven. (Indførelse af en sælgerpantebrevsmodel).,Om beskatning af fortjeneste ved afståelse af fast ejendom og virksomhedsskatteloven.,Proposal for a law amending the Law on the taxation of profits in the event of the transfer of real estate and the Corporate Tax Act.
7340,207701,1,2019-12-20 00:00:00,17,81597,3,L 71 A,"Forslag til lov om ændring af ejendomsvurderingsloven, 
ejendomsavancebeskatningsloven, ejendomsværdiskatteloven, 
lov om kommunal ejendomsskat og skatteforvaltningsloven. 
(Fastsættelse af grund- og ejendomsværdier, afgrænsning af afledt virkning af klage- og retssager, afledt skattemæssig virkning ved ekstraordinær genoptagelse af ejendomsvurderinger, samtidighed for ejendomsværdiskat og grundskyld samt andre tilpasninger på vurderingsområdet m.v.).",Om fastsættelse af grund- og ejendomsværdier og andre tilpasninger på vurderingsområdet m.v.  ,"Proposal for a Law amending the Property Assessment Act, the Property Advance Tax Act, the Property Value Tax Act, the Municipal Property Tax Act and the Tax Administration Act. (Fixement of land and property values, demarcation of the derived effect of appeals and legal proceedings, derived tax effect in case of extraordinary resumption of property valuations, simultaneous property value tax and land tax and other adjustments in the field of valuation, etc.)."
7341,207706,1,2019-12-20 00:00:00,17,81596,3,L 71 B,Forslag til lov om ændring af skatteforvaltningsloven. (Afledt skattemæssig virkning ved ekstraordinær genoptagelse af ejendomsvurderinger).,Om afledt skattemæssig virkning ved ekstraordinær genoptagelse af ejendomsvurderinger.,Proposal for a Law amending the Tax Administration Act.
7343,207694,1,2019-12-20 00:00:00,17,81598,3,L 72 B,"Forslag til lov om ændring af sømandsbeskatningsloven, 
tonnageskatteloven og forskellige andre love. (Tilpasning af 
refusionsordningen for sandsugere til EU-retten, justering af 
værnsregler i tonnageskatteordningen, udvidelse af sømandsfradraget til søfolk på forsknings- og havundersøgelsesskibe m.v.).",Om tilpasning af refusionsordningen for sandsugere til EU-retten m.v.,"Proposal for a law amending the Seaman Tax Act, the Tonnage Tax Act and various other laws."
7344,206475,1,2019-12-20 00:00:00,17,81161,3,L 73,Forslag til lov om ændring af lov om ændring af ligningsloven og forskellige andre love. (Fastholdelse af beskatningen af fri telefon og internet m.v.).,Om fastholdelse af beskatningen af fri telefon og internet m.v.,Draft law amending the law amending the law on equations and various other laws. (Maintenance of tax on free telephone and Internet etc.).
7345,207677,1,2019-12-20 00:00:00,17,81601,3,L 74 A,Forslag til lov om ændring af lov om afgift af elektricitet og forskellige andre love. (Forlængelse af ordning med lav afgift på el til erhvervsmæssig opladning af eldrevne køretøjer og lovtekniske ændringer af elpatronordningen).,Om lav afgift på el til erhvervsmæssig opladning af eldrevne køretøjer og lovtekniske ændringer af elpatronordningen.,Proposal for a law amending the law on taxation of electricity and various other laws.
7346,207682,1,2019-12-20 00:00:00,17,81600,3,L 74 B,"Forslag til lov om ændring af lov om energiafgift af mineralolieprodukter m.v. og lov om kuldioxidafgift af visse energiprodukter. (Standardsats for afgift af blyfri benzin iblandet 9,8 pct. biobrændstoffer).","Om standardsats for afgift af blyfri benzin iblandet 9,8 pct. biobrændstoffer.","Proposal for a law amending the Law on the energy tax of petroleum products, etc. and the Law on the carbon dioxide tax of certain energy products."
7347,207665,1,2019-12-20 00:00:00,17,81602,3,L 75 A,"Forslag til lov om ændring af lov om afgift af visse emballager, 
poser, engangsservice og pvc-folier (emballageafgiftsloven), 
lov om midlertidig nedsættelse af straffen for overtrædelse af skatte- og afgiftslovgivningen vedrørende midler på udenlandske konti m.v. og opkrævningsloven. (Forhøjelse af afgiften på bæreposer og engangsservice m.v.).","Om forhøjelse af afgiften på bæreposer og engangsservice
m.v.","Proposal for a Law amending the Law on the Tax of Certain Packagings, Bags, One-time Services and PVC Films (Package Tax Act), Law on the Temporary Reduction of the Penalty for Violation of Tax Law on Funds in Foreign Accounts, etc., and the Law on Collection (Addition of Tax on Carrying Bags and One-time Services, etc.)."
7348,207670,1,2019-12-20 00:00:00,17,81603,3,L 75 B,Forslag til lov om ændring af tobaksafgiftsloven og lov om forskellige forbrugsafgifter. (Forhøjelse af afgiften på tobak).,Om forhøjelse af afgiften på tobak.,Proposal for a law amending the tobacco tax law and the law on various excise duties.
7349,206501,1,2019-12-20 00:00:00,17,81163,3,L 76,Forslag til lov om ændring af boafgiftsloven og skatteforvaltningsloven. (Ensartet bo- og gaveafgift ved generationsskifte og indførelse af retskrav på henstand og forlænget henstandsperiode).,Om ensartet bo- og gaveafgift ved generationsskifte m.v.,Proposal for a law amending the Housing Tax Act and the Tax Administration Act.
7350,206409,1,2019-12-20 00:00:00,17,81154,3,L 70,Forslag til lov om ændring af lov om vederlag og pension m.v. for ministre. (Forlængelse af perioden for midlertidig nedsættelse af grundvederlag til ministre).,Om forlængelse af perioden for midlertidig nedsættelse af grundvederlag til ministre.,"Draft law amending the law on remuneration and pensions, etc. for ministers."
7351,205567,1,2019-12-20 09:00:00,17,80915,3,L 45,Forslag til lov om et midlertidigt børnetilskud til visse forsørgere.,Om et midlertidigt børnetilskud til visse forsørgere.,Proposal for a law on temporary allowances for certain dependents.
7352,206000,1,2019-12-20 00:00:00,17,81036,3,L 52,Forslag til lov om ændring af lov om sygedagpenge. (En enklere tilrettelæggelse af første sygedagpengeopfølgning m.v.).,Om en enklere tilrettelæggelse af første sygedagpengeopfølgning m.v.,"Proposal for a law amending the Law on sickness benefit. (Simplifying the organization of first sickness benefit follow-up, etc.)."
7353,205987,1,2019-12-20 00:00:00,17,81035,3,L 53,Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats. (Afskaffelse af dokumentationskrav for fastholdelsesfleksjob for seniorer).,Om afskaffelse af dokumentationskrav for fastholdelsesfleksjob for seniorer.,Proposal for a law amending the Act on Active Employment.
7354,206435,1,2019-12-20 00:00:00,17,81156,3,L 66,"Forslag til lov om ændring af lov om aktiv socialpolitik, integrationsloven og forskellige andre love. (Enklere og skærpede sanktioner, styrket kontrol med snyd og færre fejludbetalinger m.v.).",Om enklere og skærpede sanktioner i kontanthjælpssystemet m.v.,"Proposal for a law amending the Act on Active Social Policy, the Integration Act and various other laws. (Simplified and tightened sanctions, strengthened control of cheating and fewer error payments, etc.)."
7355,206422,1,2019-12-20 00:00:00,17,81155,3,L 67,Forslag til lov om ændring af lov om social pension og forskellige andre love. (Indførelse af seniorpension).,Om indførelse af seniorpension.,Proposal for a law amending the Social Pensions Act and various other laws. (Introduction of senior pensions).
7356,205974,1,2019-12-20 00:00:00,17,81034,3,L 54,Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats og forskellige andre love. (Obligatorisk pensionsordning for personer i fleksjobordningen m.v. og konsekvensændringer som følge af den forenklede beskæftigelsesindsats m.v.).,Om obligatorisk pensionsordning for personer i fleksjobordningen m.v. og konsekvensændringer af den forenklede beskæftigelsesindsats m.v.,Proposal for a law amending the Act on Active Employment and various other laws. (Optional pension scheme for people in the flex-job scheme etc. and impact changes resulting from the simplified employment effort etc.).
7357,206448,1,2019-12-20 00:00:00,17,81157,3,L 65,Forslag til lov om ændring af lov om arbejdsmiljø og lov om arbejdsskadesikring. (Gennemførelse af aftale om en ny og forbedret arbejdsmiljøindsats og ordnede forhold på arbejdsmarkedet m.v.).,Om gennemførelse af aftale om en ny og forbedret arbejdsmiljøindsats og ordnede forhold på arbejdsmarkedet m.v.,"Proposal for a law amending the law on occupational safety and health and safety at work. (Implementation of agreement on a new and improved occupational health and safety effort and on labour market conditions, etc.)."
7358,205620,1,2019-12-20 00:00:00,17,80919,3,L 44,Forslag til lov om ændring af lov om videreførelse af visse rettigheder i forbindelse med Det Forenede Kongeriges udtræden af Den Europæiske Union uden en aftale. (Ændring af perioden for hjælp til dækning af tabt arbejdsfortjeneste samt plejevederlag efter lov om social service i forbindelse med Det Forenede Kongeriges udtræden af Den Europæiske Union uden en aftale).,Om ændring af perioden for hjælp til dækning af tabt arbejdsfortjeneste i forbindelse med Storbritanniens udtræden af EU uden en aftale m.v. ,Proposal for a law amending the law on the continuation of certain rights relating to the withdrawal of the United Kingdom from the European Union without an agreement (change in the period of aid to cover lost earnings and care allowances under the Social Services Act for the United Kingdom's withdrawal from the European Union without an agreement).
7359,205922,1,2019-12-20 00:00:00,17,81029,3,L 56,Forslag til lov om ændring af lov om social service og lov om socialtilsyn. (Sikring af borgernes retsstilling ved indgåelse af aftaler med foreninger og private virksomheder om overdragelse af arbejdsgiverfunktionen i ordninger efter §§ 95 og 96 i lov om social service m.v.),Om sikring af borgernes retsstilling ved indgåelse af aftaler med foreninger og private virksomheder om hjælpeordninger efter lov om social service m.v.,"Proposal for a law amending the Social Services Act and the Social Insurance Act. (Safeguarding the legal position of citizens when concluding agreements with associations and private companies on the transfer of the employer's function into schemes under Sections 95 and 96 of the Social Services Act, etc.)"
